selection,reason,source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat10_2022,,10/2022/QH15,Luật,Quốc hội,,2023-07-01,Luật Thực hiện dân chủ ở cơ sở 87_VBHN-VPQH,,,150872,active_verified,Bach-Xuan/Luật Thực hiện dân chủ ở cơ sở 87_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat116_2025,,116/2025/QH15,Luật,Quốc hội,,,Luật An ninh mạng,,,86385,active_verified,Bach-Xuan/Luật An ninh mạng 116_2025_QH15.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat11_2017,,11/2017/QH14,Luật,Quốc hội,,2018-01-01,Luật Trợ giúp pháp lý 106_VBHN-VPQH,,,54762,active_verified,Bach-Xuan/Luật Trợ giúp pháp lý 106_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat120_2025,216502,120/2025/QH15,Luật,Quốc hội,2025-12-10,2026-07-01,"Luật Phòng, chống ma túy",https://congbao.chinhphu.vn/van-ban/luat-so-120-2025-qh15-468574.htm,,78550,active_verified,congbao.chinhphu.vn
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat126_2025,,126/2025/QH15,Luật,Quốc hội,,,Luật Báo chí,,,57395,active_verified,Bach-Xuan/Luật Báo chí 126_2025_QH15.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat136_2025,216516,136/2025/QH15,Luật,Quốc hội,2025-12-10,2026-07-01,"Luật sửa đổi, bổ sung một số điều của Luật Tiếp công dân, Luật Khiếu nại, Luật Tố cáo",https://congbao.chinhphu.vn/van-ban/luat-so-136-2025-qh15-468696.htm,,24166,active_verified,congbao.chinhphu.vn
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat13_2022,,13/2022/QH15,Luật,Quốc hội,,,"Luật Phòng, chống bạo lực gia đình",,,55501,active_verified,"Bach-Xuan/Luật Phòng, chống bạo lực gia đình 13_2022_QH15.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat14_2012,,14/2012/QH13,Luật,Quốc hội,,,"Luật Phổ biến, giáo dục pháp luật",,,33067,active_verified,"Bach-Xuan/Luật Phổ biến, giáo dục pháp luật 14_2012_QH13.txt"
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat15_2012,,15/2012/QH13,Luật,Quốc hội,,2013-07-01,Luật Xử lý vi phạm hành chính 90_VBHN-VPQH,,,248104,active_verified,Bach-Xuan/Luật Xử lý vi phạm hành chính 90_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat15_2017,,15/2017/QH14,Luật,Quốc hội,,2018-01-01,"Luật Quản lý, sử dụng tài sản công 97_VBHN-VPQH",,,190039,active_verified,"Bach-Xuan/Luật Quản lý, sử dụng tài sản công 97_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat15_2023,,15/2023/QH15,Luật,Quốc hội,,2024-01-01,"Luật Khám bệnh, chữa bệnh 26_VBHN-VPQH",,,152767,active_verified,"Bach-Xuan/Luật Khám bệnh, chữa bệnh 26_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat16_2023,,16/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Giá 25_VBHN-VPQH,,,138928,active_verified,Bach-Xuan/Luật Giá 25_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat17_2023,,17/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Hợp tác xã 101_VBHN-VPQH,,,166336,active_verified,Bach-Xuan/Luật Hợp tác xã 101_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat19_2023,,19/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Bảo vệ quyền lợi người tiêu dùng 47_VBHN-VPQH,,,106439,active_verified,Bach-Xuan/Luật Bảo vệ quyền lợi người tiêu dùng 47_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat20_2023,,20/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Giao dịch điện tử 36_VBHN-VPQH,,,59615,active_verified,Bach-Xuan/Luật Giao dịch điện tử 36_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat24_2008,,24/2008/QH12,Luật,Quốc hội,,2014-06-26,Luật Quốc tịch Việt Nam 53_VBHN-VPQH,,,50742,active_verified,Bach-Xuan/Luật Quốc tịch Việt Nam 53_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat24_2023,,24/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Viễn thông 66_VBHN-VPQH,,,113198,active_verified,Bach-Xuan/Luật Viễn thông 66_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat25_2008,,25/2008/QH12,Luật,Quốc hội,,2009-07-01,Luật Bảo hiểm Y tế 40_VBHN-VPQH,,,117362,active_verified,Bach-Xuan/Luật Bảo hiểm Y tế 40_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat25_2018,,25/2018/QH14,Luật,Quốc hội,,2019-01-01,Luật Tố cáo 29_VBHN-VPQH,,,80245,active_verified,Bach-Xuan/Luật Tố cáo 29_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat26_2008,,26/2008/QH12,Luật,Quốc hội,,2009-07-01,Luật Thi hành án dân sự 115_VBHN-VPQH,,,234921,active_verified,Bach-Xuan/Luật Thi hành án dân sự 115_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat26_2023,209628,26/2023/QH15,Luật,Quốc hội,27-11-2023,01-07-2024,LUẬT CĂN CƯỚC,https://vanban.chinhphu.vn/?pageid=27160&docid=209628,data/private_cache/vbpq/luat26_2023.pdf,61340,active_verified,
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat27_2023,,27/2023/QH15,Luật,Quốc hội,,2024-08-01,Luật Nhà ở 79_VBHN-VPQH,,,344477,active_verified,Bach-Xuan/Luật Nhà ở 79_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat29_2023,,29/2023/QH15,Luật,Quốc hội,,2024-08-01,Luật Kinh doanh bất động sản 06_VBHN-VPQH,,,142235,active_verified,Bach-Xuan/Luật Kinh doanh bất động sản 06_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat30_2023,,30/2023/QH15,Luật,Quốc hội,,2024-07-01,"Luật Lực lượng tham gia bảo vệ an ninh, trật tự ở cơ sở 57_VBHN-VPQH",,,36677,active_verified,"Bach-Xuan/Luật Lực lượng tham gia bảo vệ an ninh, trật tự ở cơ sở 57_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat31_2018,,31/2018/QH14,Luật,Quốc hội,,2020-01-01,Luật Trồng trọt 93_VBHN-VPQH,,,97641,active_verified,Bach-Xuan/Luật Trồng trọt 93_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat31_2024,,31/2024/QH15,Luật,Quốc hội,,2024-08-01,Luật Đất đai 133_VBHN-VPQH,,,541495,active_verified,Bach-Xuan/Luật Đất đai 133_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat32_2018,,32/2018/QH14,Luật,Quốc hội,,2020-01-01,Luật Chăn nuôi 63_VBHN-VPQH,,,100496,active_verified,Bach-Xuan/Luật Chăn nuôi 63_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat32_2024,,32/2024/QH15,Luật,Quốc hội,,2024-07-01,Luật Các tổ chức tín dụng 100_VBHN-VPQH,,,307820,active_verified,Bach-Xuan/Luật Các tổ chức tín dụng 100_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat33_2013,,33/2013/QH13,Luật,Quốc hội,,2014-05-01,"Luật Phòng, chống thiên tai 85_VBHN-VPQH",,,124481,active_verified,"Bach-Xuan/Luật Phòng, chống thiên tai 85_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat33_2024,,33/2024/QH15,Luật,Quốc hội,,2025-07-01,Luật Lưu trữ 34_VBHN-VPQH,,,72061,active_verified,Bach-Xuan/Luật Lưu trữ 34_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat34_2024,,34/2024/QH15,Luật,Quốc hội,,2025-01-01,Luật Tổ chức Tòa án nhân dân 82_VBHN-VPQH,,,134276,active_verified,Bach-Xuan/Luật Tổ chức Tòa án nhân dân 82_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat35_2013,,35/2013/QH13,Luật,Quốc hội,,,Luật Hòa giải ở cơ sở,,,20915,active_verified,Bach-Xuan/Luật Hòa giải ở cơ sở 35_2013_QH13.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat35_2024,,35/2024/QH15,Luật,Quốc hội,,2025-01-01,Luật Đường bộ 49_VBHN-VPQH,,,156892,active_verified,Bach-Xuan/Luật Đường bộ 49_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat36_2005,,36/2005/QH11,Luật,Quốc hội,,2006-01-01,Luật Thương mại 113_VBHN-VPQH,,,171308,active_verified,Bach-Xuan/Luật Thương mại 113_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat36_2024,,36/2024/QH15,Luật,Quốc hội,,2025-01-01,"Luật Trật tự, an toàn giao thông đường bộ 55_VBHN-VPQH",,,177458,active_verified,"Bach-Xuan/Luật Trật tự, an toàn giao thông đường bộ 55_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat38_2019,,38/2019/QH14,Luật,Quốc hội,,2020-07-01,Luật Quản lý thuế 29_VBHN-VPQH,,,212396,active_verified,Bach-Xuan/Luật Quản lý thuế 29_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat39_2009,,39/2009/QH12,Luật,Quốc hội,,2010-07-01,Luật Người cao tuổi 23_VBHN-VPQH,,,25833,active_verified,Bach-Xuan/Luật Người cao tuổi 23_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat40_2019,,40/2019/QH14,Luật,Quốc hội,,,Luật Kiến trúc,,,40519,active_verified,Bach-Xuan/Luật Kiến trúc 40_2019_QH14.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat41_2024,,41/2024/QH15,Luật,Quốc hội,,2025-07-01,Luật Bảo hiểm xã hội 19_VBHN-VPQH,,,187926,active_verified,Bach-Xuan/Luật Bảo hiểm xã hội 19_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat42_2013,,42/2013/QH13,Luật,Quốc hội,,2026-07-01,Luật Tiếp công dân 30_VBHN-VPQH,,,50914,active_verified,Bach-Xuan/Luật Tiếp công dân 30_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat44_2019,,44/2019/QH14,Luật,Quốc hội,,,"Luật Phòng, chống tác hại của rượu, bia",,,30422,active_verified,"Bach-Xuan/Luật Phòng, chống tác hại của rượu, bia 44_2019_QH14.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat46_2010,,46/2010/QH12,Luật,Quốc hội,,2011-01-01,Luật Ngân hàng Nhà nước Việt Nam 25_VBHN-VPQH,,,37940,active_verified,Bach-Xuan/Luật Ngân hàng Nhà nước Việt Nam 25_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat46_2024,212474,46/2024/QH15,Luật,Quốc hội,26-11-2024,01-07-2025,LUẬT CÔNG CHỨNG,https://vanban.chinhphu.vn/?pageid=27160&docid=212474,data/private_cache/vbpq/luat46_2024.pdf,109309,active_verified,
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat47_2014,,47/2014/QH13,Luật,Quốc hội,,2015-01-01,"Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam 62_VBHN-VPQH",,,87198,active_verified,"Bach-Xuan/Luật Nhập cảnh, xuất cảnh, quá cảnh, cư trú của người nước ngoài tại Việt Nam 62_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat48_2024,,48/2024/QH15,Luật,Quốc hội,,2025-07-01,Luật Thuế giá trị gia tăng 114_VBHN-VPQH,,,50266,active_verified,Bach-Xuan/Luật Thuế giá trị gia tăng 114_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat49_2019,,49/2019/QH14,Luật,Quốc hội,,2020-07-01,"Luật Xuất cảnh, nhập cảnh của công dân Việt Nam 107_VBHN-VPQH",,,88696,active_verified,"Bach-Xuan/Luật Xuất cảnh, nhập cảnh của công dân Việt Nam 107_VBHN-VPQH.txt"
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat50_2014,,50/2014/QH13,Luật,Quốc hội,,2015-01-01,Luật Xây dựng 154_VBHN-VPQH,,,232082,active_verified,Bach-Xuan/Luật Xây dựng 154_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat51_2010,,51/2010/QH12,Luật,Quốc hội,,2011-01-01,Luật Người khuyết tật 24_VBHN-VPQH,,,48305,active_verified,Bach-Xuan/Luật Người khuyết tật 24_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat51_2024,212479,51/2024/QH15,Luật,Quốc hội,2024-11-27,2025-07-01,"Luật sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế",https://congbao.chinhphu.vn/van-ban/luat-so-51-2024-qh15-43559.htm,,50161,active_verified,congbao.chinhphu.vn
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat52_2014,175351,52/2014/QH13,Luật,Quốc hội,19-06-2014,01-01-2015,LUẬT HÔN NHÂN VÀ GIA ĐÌNH,https://vanban.chinhphu.vn/?pageid=27160&docid=175351,data/private_cache/vbpq/luat52_2014.pdf,86826,active_verified,
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat53_2024,,53/2024/QH15,Luật,Quốc hội,,2025-07-01,"Luật Phòng, chống mua bán người 138_VBHN-VPQH",,,67510,active_verified,"Bach-Xuan/Luật Phòng, chống mua bán người 138_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat54_2019,,54/2019/QH14,Luật,Quốc hội,,2021-01-01,Luật Chứng khoán 102_VBHN-VPQH,,,244817,active_verified,Bach-Xuan/Luật Chứng khoán 102_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat55_2010,,55/2010/QH12,Luật,Quốc hội,,2011-07-01,Luật An toàn thực phẩm 61_VBHN-VPQH,,,76659,active_verified,Bach-Xuan/Luật An toàn thực phẩm 61_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat55_2024,,55/2024/QH15,Luật,Quốc hội,,2025-07-01,"Luật Phòng cháy, chữa cháy và cứu nạn, cứu hộ 58_VBHN-VPQH",,,94391,active_verified,"Bach-Xuan/Luật Phòng cháy, chữa cháy và cứu nạn, cứu hộ 58_VBHN-VPQH.txt"
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat60_2014,178129,60/2014/QH13,Luật,Quốc hội,20-11-2014,01-01-2016,LUẬT HỘ TỊCH,https://vanban.chinhphu.vn/?pageid=27160&docid=178129,data/private_cache/vbpq/luat60_2014.pdf,55239,active_verified,
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat61_2020,,61/2020/QH14,Luật,Quốc hội,,2021-01-01,Luật Đầu tư 134_VBHN-VPQH,,,200973,active_verified,Bach-Xuan/Luật Đầu tư 134_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat64_2025,,64/2025/QH15,Luật,Quốc hội,,2025-04-01,Luật Ban hành văn bản quy phạm pháp luật 54_VBHN-VPQH,,,118313,active_verified,Bach-Xuan/Luật Ban hành văn bản quy phạm pháp luật 54_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat65_2006,,65/2006/QH11,Luật,Quốc hội,,2007-01-01,Luật Luật sư 03_VBHN-VPQH,,,108592,active_verified,Bach-Xuan/Luật Luật sư 03_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat68_2020,202609,68/2020/QH14,Luật,Quốc hội,13-11-2020,01-07-2021,LUẬT CƯ TRÚ,https://vanban.chinhphu.vn/?pageid=27160&docid=202609,data/private_cache/vbpq/luat68_2020.pdf,49423,active_verified,
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat72_2020,,72/2020/QH14,Luật,Quốc hội,,2022-01-01,Luật Bảo vệ môi trường 98_VBHN-VPQH,,,361914,active_verified,Bach-Xuan/Luật Bảo vệ môi trường 98_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat73_2021,,73/2021/QH14,Luật,Quốc hội,,2022-01-01,"Luật Phòng, chống ma túy 117_VBHN-VPQH",,,59330,active_verified,"Bach-Xuan/Luật Phòng, chống ma túy 117_VBHN-VPQH.txt"
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat74_2025,,74/2025/QH15,Luật,Quốc hội,,,Luật Việc làm,,,56667,active_verified,Bach-Xuan/Luật Việc làm 74_2025QH15.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat77_2006,,77/2006/QH11,Luật,Quốc hội,,2007-07-01,"Luật Thể dục, thể thao 64_VBHN-VPQH",,,67987,active_verified,"Bach-Xuan/Luật Thể dục, thể thao 64_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat78_2015,,78/2015/QH13,Luật,Quốc hội,,2020-07-01,Luật Nghĩa vụ quân sự 80_VBHN-VPQH,,,57354,active_verified,Bach-Xuan/Luật Nghĩa vụ quân sự 80_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat84_2015,,84/2015/QH13,Luật,Quốc hội,,2016-07-01,"Luật An toàn, vệ sinh lao động 14_VBHN-VPQH",,,135386,active_verified,"Bach-Xuan/Luật An toàn, vệ sinh lao động 14_VBHN-VPQH.txt"
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat93_2015,,93/2015/QH13,Luật,Quốc hội,,2016-07-01,Luật Tố tụng hành chính 13_VBHN-VPQH,,,378154,active_verified,Bach-Xuan/Luật Tố tụng hành chính 13_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd07_2025,212416,07/2025/NĐ-CP,Nghị định,Chính phủ,09-01-2025,09-01-2025,"Sửa đổi, bổ sung một số điều của các Nghị định trong lĩnh vực hộ tịch, quốc tịch, chứng thực",https://vanban.chinhphu.vn/?pageid=27160&docid=212416,data/private_cache/vbpq/nd07_2025.pdf,52129,active_verified,
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",nd104_2025,213663,104/2025/NĐ-CP,Nghị định,Chính phủ,15-05-2025,01-07-2025,Quy định chi tiết một số điều và biện pháp thi hành Luật Công chứng,https://vanban.chinhphu.vn/?pageid=27160&docid=213663,data/private_cache/vbpq/nd104_2025.pdf,101843,active_verified,
EXCLUDE_EXPIRED,Không đưa văn bản hết hiệu lực vào corpus hiện hành,nd115_2015,178129,115/2015/NĐ-CP,Nghị định,Chính phủ,2015-11-11,2016-01-01,Nghị định quy định chi tiết một số điều và biện pháp thi hành Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc,https://vanban.chinhphu.vn,,2476,expired,legacy stub (round19)
